Bratislava - Stare Mesto;39187;24952;63,67;24931;24836
Bratislava - Podunajske Biskupice;20042;10378;51,78;10375;10271
Bratislava - Ruzinov;66641;40628;60,96;40605;40452
Bratislava - Vrakuna;17536;8954;51,06;8953;8916
Bratislava - Nove Mesto;35131;21726;61,84;21719;21629
Bratislava - Raca;19953;11768;58,97;11759;11710
Bratislava - Vajnory;4649;2877;61,88;2877;2863
Bratislava - Devin;1405;957;68,11;956;952
Bratislava - Devinska Nova Ves;14162;8244;58,21;8236;8205
Bratislava - Dubravka;31278;17572;56,18;17567;17491
Bratislava - Karlova Ves;30273;18848;62,26;18836;18769
Bratislava - Lamac;6198;4078;65,79;4078;4065
Bratislava - Zahorska Bystrica;4338;3001;69,17;2999;2987
Bratislava - Cunovo;1212;866;71,45;866;863
Bratislava - Jarovce;2055;1430;69,58;1430;1426
Bratislava - Petrzalka;94260;53855;57,13;53826;53648
Bratislava - Rusovce;3371;2230;66,15;2221;2210
Borinka;644;412;63,97;412;412
Gajary;2468;1018;41,24;1018;1013
Jablonove - Malacky;1074;638;59,4;638;635
Jakubov;1326;660;49,77;659;656
Kostoliste;1223;687;56,17;687;682
Kuchyna;1444;738;51,1;738;731
Lab;1502;882;58,72;882;878
Lozorno;2556;1275;49,88;1275;1266
Malacky;15201;7764;51,07;7763;7724
Male Levare;1110;445;40,09;445;438
Marianka;1635;1104;67,52;1104;1104
Pernek;723;393;54,35;393;392
Plavecke Podhradie;586;313;53,41;313;310
Plavecky Mikulas;622;398;63,98;398;394
Plavecky Stvrtok;1979;868;43,86;868;864
Rohoznik - Malacky;2889;1357;46,97;1357;1350
Solosnica;1340;724;54,02;724;720
Studienka;1438;686;47,7;686;685
Stupava;9249;5630;60,87;5626;5604
Suchohrad;581;293;50,43;293;292
Velke Levare;3036;1367;45,02;1367;1356
Vysoka pri Morave;1840;902;49,02;902;899
Zahorie (vojensky obvod);140;66;47,14;66;65
Zahorska Ves;1497;560;37,4;560;556
Zavod;2367;991;41,86;991;986
Zohor;2700;1417;52,48;1417;1413
Bahon;1532;868;56,65;868;864
Budmerice;1944;1066;54,83;1066;1058
Casta;1908;1110;58,17;1110;1106
Dolany - Pezinok;903;622;68,88;622;619
Dubova - Pezinok;927;595;64,18;595;591
Jablonec;801;458;57,17;458;456
Limbach;1667;1140;68,38;1140;1140
Modra;7805;4711;60,35;4709;4695
Pezinok;19823;12520;63,15;12518;12471
Pila - Pezinok;297;179;60,26;179;179
Slovensky Grob;3269;2101;64,27;2101;2093
Svaty Jur;4707;2799;59,46;2796;2779
Senkvice;4112;2541;61,79;2540;2530
Stefanova;308;179;58,11;179;178
Vinicne;2034;1375;67,6;1375;1369
Vinosady;1120;764;68,21;764;762
Vistuk;1147;623;54,31;623;618
Bernolakovo;6048;3769;62,31;3769;3754
Blatne;1381;824;59,66;824;820
Boldog;404;245;60,64;245;244
Cataj;967;615;63,59;615;614
Dunajska Luzna;5085;3238;63,67;3237;3227
Hamuliakovo;1858;1063;57,21;1062;1062
Hruba Borsa;808;533;65,96;533;531
Hruby Sur;753;438;58,16;438;436
Hurbanova Ves;317;200;63,09;200;200
Chorvatsky Grob;4552;3029;66,54;3029;3023
Igram;480;267;55,62;267;265
Ivanka pri Dunaji;5308;3416;64,35;3407;3391
Kalinkovo;1126;697;61,9;697;691
Kaplna;703;399;56,75;399;393
Kostolna pri Dunaji;546;337;61,72;337;334
Kralova pri Senci;1612;1002;62,15;1002;993
Malinovo;2736;1751;63,99;1751;1741
Miloslavov;2336;1634;69,94;1633;1624
Most pri Bratislave;2644;1648;62,32;1648;1642
Nova Dedinka;2150;1295;60,23;1295;1289
Novy Svet;82;56;68,29;56;56
Reca;1255;658;52,43;658;648
Rovinka;3268;2054;62,85;2054;2049
Senec;15285;8200;53,64;8199;8156
Tomasov;2124;1163;54,75;1163;1158
Turen;920;521;56,63;521;518
Velky Biel;2164;1190;54,99;1190;1186
Vlky;372;212;56,98;212;209
Zalesie - Senec;1529;1079;70,56;1079;1078
Bac;472;248;52,54;248;238
Baka;973;295;30,31;293;290
Balon;619;156;25,2;156;154
Bellova Ves;256;135;52,73;135;134
Blahova;308;167;54,22;167;166
Blatna na Ostrove;766;322;42,03;322;320
Bodiky;286;135;47,2;135;135
Bohelov;296;102;34,45;102;101
Cakany;504;269;53,37;269;267
Cenkovce;902;367;40,68;367;367
Cilizska Radvan;986;184;18,66;184;182
Dobrohost;433;216;49,88;216;215
Dolny Bar;597;198;33,16;197;196
Dolny Stal;1624;409;25,18;409;406
Dunajska Streda;19293;6041;31,31;6034;5991
Dunajsky Klatov;578;149;25,77;149;148
Gabcikovo;4332;1204;27,79;1204;1194
Holice;1770;602;34,01;602;598
Horna Poton;1731;601;34,71;601;601
Horne Myto;782;159;20,33;159;157
Horny Bar;1053;438;41,59;438;437
Hubice;526;273;51,9;273;271
Hviezdoslavov;1379;886;64,24;886;883
Jahodna;1398;339;24,24;339;336
Janiky;755;414;54,83;414;411
Jurova;397;140;35,26;140;140
Klucovec;311;92;29,58;92;89
Kostolne Kracany;1160;436;37,58;436;435
Kralovicove Kracany;899;293;32,59;293;291
Kutniky;1155;448;38,78;448;445
Kvetoslavov;1262;799;63,31;799;795
Kyselica;160;72;45;72;72
Lehnice;2315;888;38,35;886;876
Luc na Ostrove;614;217;35,34;217;217
Macov;325;195;60;195;193
Mad;466;178;38,19;178;175
Male Dvorniky;941;386;41,02;386;385
Medvedov;483;129;26,7;129;129
Mierovo;361;202;55,95;202;202
Michal na Ostrove;820;316;38,53;316;311
Narad;540;193;35,74;193;186
Novy Zivot;1836;674;36,71;674;664
Ohrady;1120;299;26,69;299;298
Okoc;3100;605;19,51;605;575
Oldza;403;210;52,1;210;209
Orechova Poton;1463;456;31,16;456;453
Padan;740;186;25,13;186;186
Patas;658;102;15,5;102;102
Potonske Luky;229;87;37,99;87;86
Povoda;803;272;33,87;272;269
Rohovce;922;400;43,38;399;394
Sap;441;121;27,43;121;119
Samorin;10981;5058;46,06;5058;5027
Stvrtok na Ostrove;1437;631;43,91;631;626
Topolniky;2578;721;27,96;721;713
Trhova Hradska;1860;505;27,15;505;501
Trnavka - Dunajska Streda;418;196;46,88;196;196
Trstena na Ostrove;498;176;35,34;176;170
Velka Paka;776;420;54,12;420;417
Velke Blahovo;1241;326;26,26;326;323
Velke Dvorniky;1047;305;29,13;305;300
Velky Meder;7097;1570;22,12;1570;1561
Vieska - Dunajska Streda;360;160;44,44;160;159
Vojka nad Dunajom;410;212;51,7;212;210
Vrakun;2255;715;31,7;714;705
Vydrany;1451;433;29,84;433;425
Zlate Klasy;2753;532;19,32;532;529
Abraham;905;527;58,23;527;527
Cierna Voda;1147;564;49,17;564;555
Cierny Brod;1372;430;31,34;430;426
Dolna Streda;1289;731;56,71;731;721
Dolne Saliby;1721;570;33,12;564;555
Dolny Chotar;300;74;24,66;74;73
Galanta;12474;5936;47,58;5928;5902
Gan;684;368;53,8;368;367
Horne Saliby;2671;1030;38,56;1030;1015
Hoste;393;215;54,7;215;214
Janovce - Galanta;406;223;54,92;223;223
Jelka;3357;1129;33,63;1129;1117
Kajal;1249;465;37,22;465;464
Kosuty;1403;571;40,69;571;559
Kralov Brod;907;268;29,54;268;264
Mala Maca;499;232;46,49;232;229
Matuskovo;1888;953;50,47;953;946
Mostova;1339;485;36,22;485;484
Pata;2637;1271;48,19;1271;1259
Puste Sady;530;256;48,3;256;253
Puste Ulany;1443;735;50,93;735;725
Sered;13365;6528;48,84;6528;6495
Sladkovicovo;4405;1783;40,47;1783;1780
Salgocka;390;192;49,23;192;189
Sintava;1468;822;55,99;822;820
Soporna;3451;1555;45,05;1555;1547
Tomasikovo;1331;389;29,22;389;384
Topolnica;694;369;53,17;369;367
Trstice;3214;973;30,27;973;969
Vahovce;1743;637;36,54;637;633
Velka Maca;2131;787;36,93;787;780
Velke Ulany;3766;1573;41,76;1573;1565
Velky Grob;1122;562;50,08;562;559
Vinohrady nad Vahom;1365;660;48,35;660;658
Vozokany - Galanta;967;348;35,98;348;346
Zemianske Sady;689;301;43,68;301;300
Banka;1853;1002;54,07;1002;999
Basovce;277;169;61,01;169;168
Borovce;867;450;51,9;450;447
Dolny Lopasov;819;411;50,18;411;410
Drahovce;2168;1118;51,56;1117;1111
Dubovany;828;412;49,75;412;410
Ducove;370;217;58,64;217;212
Hubina;434;222;51,15;222;222
Chtelnica;2156;1295;60,06;1294;1286
Kocin - Lancar;433;241;55,65;241;239
Krakovany;1162;679;58,43;679;678
Moravany nad Vahom;1915;1055;55,09;1055;1044
Nizna - Piestany;463;255;55,07;255;255
Ostrov - Piestany;1015;556;54,77;556;552
Pecenady;463;243;52,48;243;243
Piestany;23983;13007;54,23;13001;12941
Prasnik;686;354;51,6;354;353
Rakovice;482;279;57,88;278;276
Ratnovce;844;413;48,93;413;412
Sokolovce;1106;561;50,72;561;557
Sipkove;264;144;54,54;144;143
Sterusy;410;210;51,21;210;207
Trebatice;1089;590;54,17;590;589
Velke Kostolany;2283;1066;46,69;1066;1061
Velke Orviste;885;417;47,11;416;413
