Bratislava - Stare Mesto;39187;24952;63.67;24931;24836;39060;24191;61.93;24183;23847;Bratislava I;Bratislavsky kraj
Bratislava - Podunajske Biskupice;20042;10378;51.78;10375;10271;19882;9442;47.49;9429;9314;Bratislava II;Bratislavsky kraj
Bratislava - Ruzinov;66641;40628;60.96;40605;40452;66102;38489;58.22;38479;37929;Bratislava II;Bratislavsky kraj
Bratislava - Vrakuna;17536;8954;51.06;8953;8916;17351;8144;46.93;8143;8015;Bratislava II;Bratislavsky kraj
Bratislava - Nove Mesto;35131;21726;61.84;21719;21629;34914;20758;59.45;20750;20443;Bratislava III;Bratislavsky kraj
Bratislava - Raca;19953;11768;58.97;11759;11710;19908;11173;56.12;11171;11008;Bratislava III;Bratislavsky kraj
Bratislava - Vajnory;4649;2877;61.88;2877;2863;4641;2678;57.7;2678;2642;Bratislava III;Bratislavsky kraj
Bratislava - Devin;1405;957;68.11;956;952;1429;902;63.12;902;877;Bratislava IV;Bratislavsky kraj
Bratislava - Devinska Nova Ves;14162;8244;58.21;8236;8205;14090;7509;53.29;7507;7382;Bratislava IV;Bratislavsky kraj
Bratislava - Dubravka;31278;17572;56.18;17567;17491;31022;16404;52.87;16400;16151;Bratislava IV;Bratislavsky kraj
Bratislava - Karlova Ves;30273;18848;62.26;18836;18769;29833;17662;59.2;17661;17412;Bratislava IV;Bratislavsky kraj
Bratislava - Lamac;6198;4078;65.79;4078;4065;6145;3781;61.52;3781;3703;Bratislava IV;Bratislavsky kraj
Bratislava - Zahorska Bystrica;4338;3001;69.17;2999;2987;4358;2834;65.02;2834;2800;Bratislava IV;Bratislavsky kraj
Bratislava - Cunovo;1212;866;71.45;866;863;1201;826;68.77;826;815;Bratislava V;Bratislavsky kraj
Bratislava - Jarovce;2055;1430;69.58;1430;1426;2097;1397;66.61;1397;1380;Bratislava V;Bratislavsky kraj
Bratislava - Petrzalka;94260;53855;57.13;53826;53648;94269;50162;53.21;50134;49417;Bratislava V;Bratislavsky kraj
Bratislava - Rusovce;3371;2230;66.15;2221;2210;3375;2148;63.64;2148;2125;Bratislava V;Bratislavsky kraj
Borinka;644;412;63.97;412;412;661;388;58.69;388;380;Malacky;Bratislavsky kraj
Gajary;2468;1018;41.24;1018;1013;2449;826;33.72;826;810;Malacky;Bratislavsky kraj
Jablonove - Malacky;1074;638;59.4;638;635;1080;560;51.85;560;553;Malacky;Bratislavsky kraj
Jakubov;1326;660;49.77;659;656;1331;584;43.87;584;578;Malacky;Bratislavsky kraj
Kostoliste;1223;687;56.17;687;682;1237;600;48.5;600;587;Malacky;Bratislavsky kraj
Kuchyna;1444;738;51.1;738;731;1450;624;43.03;624;610;Malacky;Bratislavsky kraj
Lab;1502;882;58.72;882;878;1498;747;49.86;747;731;Malacky;Bratislavsky kraj
Lozorno;2556;1275;49.88;1275;1266;2550;1159;45.45;1159;1137;Malacky;Bratislavsky kraj
Malacky;15201;7764;51.07;7763;7724;15211;6691;43.98;6687;6571;Malacky;Bratislavsky kraj
Male Levare;1110;445;40.09;445;438;1122;364;32.44;364;360;Malacky;Bratislavsky kraj
Marianka;1635;1104;67.52;1104;1104;1755;1056;60.17;1056;1043;Malacky;Bratislavsky kraj
Pernek;723;393;54.35;393;392;732;323;44.12;323;306;Malacky;Bratislavsky kraj
Plavecke Podhradie;586;313;53.41;313;310;574;298;51.91;298;295;Malacky;Bratislavsky kraj
Plavecky Mikulas;622;398;63.98;398;394;635;319;50.23;319;307;Malacky;Bratislavsky kraj
Plavecky Stvrtok;1979;868;43.86;868;864;1996;803;40.23;803;793;Malacky;Bratislavsky kraj
Rohoznik - Malacky;2889;1357;46.97;1357;1350;2882;1167;40.49;1167;1128;Malacky;Bratislavsky kraj
Solosnica;1340;724;54.02;724;720;1372;672;48.97;672;660;Malacky;Bratislavsky kraj
Studienka;1438;686;47.7;686;685;1427;588;41.2;588;585;Malacky;Bratislavsky kraj
Stupava;9249;5630;60.87;5626;5604;9285;5156;55.53;5156;5087;Malacky;Bratislavsky kraj
Suchohrad;581;293;50.43;293;292;594;247;41.58;247;245;Malacky;Bratislavsky kraj
Velke Levare;3036;1367;45.02;1367;1356;3030;1134;37.42;1134;1112;Malacky;Bratislavsky kraj
